,000_heartRate,015_heartRate,030_heartRate,045_heartRate,060_heartRate,075_heartRate,090_heartRate,105_heartRate,120_heartRate,135_heartRate,150_heartRate,165_heartRate,180_heartRate,195_heartRate,210_heartRate,225_heartRate,240_heartRate,255_heartRate,270_heartRate,285_heartRate,300_heartRate,315_heartRate,330_heartRate,345_heartRate,360_heartRate,375_heartRate,390_heartRate,405_heartRate,420_heartRate,435_heartRate,450_heartRate,465_heartRate,480_heartRate,495_heartRate,510_heartRate,525_heartRate,540_heartRate,555_heartRate,570_heartRate,585_heartRate,600_heartRate,615_heartRate,630_heartRate,645_heartRate,660_heartRate,675_heartRate,690_heartRate,705_heartRate,720_heartRate,735_heartRate,750_heartRate,765_heartRate,780_heartRate,795_heartRate,810_heartRate,825_heartRate,840_heartRate,855_heartRate,870_heartRate,885_heartRate,studyId,startTimeStamp,startDateTime,endTimeStamp,steps,distanceInMeters,maxMotionIntensity,meanMotionIntensity,sleepLabel
10,79,78,78,78,78,88,88,88,88,96,96,96,96,96,96,96,96,84,84,84,84,80,80,80,80,78,78,78,78,77,77,77,77,81,81,81,81,87,87,87,87,81,81,81,81,78,78,78,78,78,78,78,78,94,94,94,94,92,92,92,S3,1501511400,2017-07-31 14:30:00,1501512300,0,0.0,7,2.73333333333333,0
11,92,82,82,82,82,85,85,85,85,97,97,97,97,85,85,85,85,79,79,79,79,73,73,73,73,74,74,74,74,74,74,74,74,83,83,83,83,89,89,89,89,82,82,82,82,76,76,76,76,76,76,76,76,88,88,88,88,84,84,84,S3,1501512300,2017-07-31 14:45:00,1501513200,0,0.0,4,2.66666666666667,0
12,84,75,75,75,75,75,75,75,75,82,82,82,82,87,87,87,87,78,78,78,78,74,74,74,74,70,70,70,70,67,67,67,67,71,71,71,71,71,71,71,71,72,72,72,72,73,73,73,73,71,71,71,71,76,76,76,76,82,82,82,S3,1501513200,2017-07-31 15:00:00,1501514100,0,0.0,3,2.46666666666667,0
13,82,73,73,73,73,71,71,71,71,70,70,70,70,71,71,71,71,82,82,82,82,75,75,75,75,74,74,74,74,77,77,77,77,72,72,72,72,68,68,68,68,67,67,67,67,80,80,80,80,88,88,88,88,75,75,75,75,82,82,82,S3,1501514100,2017-07-31 15:15:00,1501515000,0,0.0,7,3.26666666666667,0
14,82,75,75,75,75,97,97,97,97,90,90,90,90,85,85,85,85,86,86,86,86,84,84,84,84,82,82,82,82,83,83,83,83,83,83,83,83,82,82,82,82,78,78,78,78,84,84,84,84,81,81,81,81,85,85,85,85,79,79,79,S3,1501515000,2017-07-31 15:30:00,1501515900,0,0.0,7,5.26666666666667,0
15,79,73,73,73,73,73,73,73,73,72,72,72,72,70,70,70,70,86,86,86,86,76,76,76,76,70,70,70,70,69,69,69,69,69,69,69,69,68,68,68,68,75,75,75,75,79,79,79,79,79,79,79,79,82,82,82,82,70,70,70,S3,1501515900,2017-07-31 15:45:00,1501516800,0,0.0,3,2.8,0
16,70,66,66,66,66,67,67,67,67,68,68,68,68,67,67,67,67,68,68,68,68,67,67,67,67,66,66,66,66,72,72,72,72,82,82,82,82,88,88,88,88,77,77,77,77,71,71,71,71,65,65,65,65,67,67,67,67,67,67,67,S3,1501516800,2017-07-31 16:00:00,1501517700,0,0.0,4,3.46666666666667,0
17,67,68,68,68,68,72,72,72,72,80,80,80,80,86,86,86,86,92,92,92,92,104,104,104,104,94,94,94,94,89,89,89,89,87,87,87,87,84,84,84,84,85,85,85,85,84,84,84,84,82,82,82,82,85,85,85,85,83,83,83,S3,1501517700,2017-07-31 16:15:00,1501518600,0,0.0,7,4.46666666666667,0
18,83,82,82,82,82,83,83,83,83,84,84,84,84,85,85,85,85,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,87,87,87,87,83,83,83,83,83,83,83,83,84,84,84,84,82,82,82,82,102,102,102,S3,1501518600,2017-07-31 16:30:00,1501519500,0,0.0,7,4.06666666666667,0
19,102,92,92,92,92,86,86,86,86,81,81,81,81,83,83,83,83,84,84,84,84,83,83,83,83,84,84,84,84,85,85,85,85,83,83,83,83,83,83,83,83,88,88,88,88,83,83,83,83,87,87,87,87,96,96,96,96,87,87,87,S3,1501519500,2017-07-31 16:45:00,1501520400,0,0.0,7,4.93333333333333,0
20,87,86,86,86,86,82,82,82,82,84,84,84,84,78,78,78,78,79,79,79,79,85,85,85,85,83,83,83,83,90,90,90,90,89,89,89,89,92,92,92,92,90,90,90,90,87,87,87,87,85,85,85,85,88,88,88,88,92,92,92,S3,1501520400,2017-07-31 17:00:00,1501521300,0,0.0,7,6.26666666666667,0
21,92,90,90,90,90,88,88,88,88,89,89,89,89,78,78,78,78,74,74,74,74,77,77,77,77,75,75,75,75,77,77,77,77,77,77,77,77,76,76,76,76,79,79,79,79,80,80,80,80,84,84,84,84,82,82,82,82,77,77,77,S3,1501521300,2017-07-31 17:15:00,1501522200,0,0.0,5,1.8,0
22,77,76,76,76,76,72,72,72,72,76,76,76,76,77,77,77,77,81,81,81,81,78,78,78,78,78,78,78,78,78,78,78,78,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,77,77,77,77,74,74,74,74,74,74,74,S3,1501522200,2017-07-31 17:30:00,1501523100,0,0.0,3,0.933333333333333,0
23,74,75,75,75,75,75,75,75,75,78,78,78,78,79,79,79,79,77,77,77,77,76,76,76,76,85,85,85,85,70,70,70,70,71,71,71,71,61,61,61,61,61,61,61,61,65,65,65,65,67,67,67,67,67,67,67,67,71,71,71,S3,1501523100,2017-07-31 17:45:00,1501524000,0,0.02,4,2.33333333333333,0
24,71,74,74,74,74,71,71,71,71,76,76,76,76,84,84,84,84,75,75,75,75,69,69,69,69,68,68,68,68,70,70,70,70,70,70,70,70,69,69,69,69,69,69,69,69,70,70,70,70,83,83,83,83,89,89,89,89,,,,S3,1501524000,2017-07-31 18:00:00,1501524900,0,0.0,7,2.60714285714286,0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,1501524900,,1501525800,,,,,0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,1501525800,,1501526700,,,,,0
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,1501526700,,1501527600,,,,,0
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,1501527600,,1501528500,,,,,0
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,1501528500,,1501529400,,,,,0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,1501529400,,1501530300,,,,,0
31,,,,,,,,,,,,,,,,,,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,,,,,72,72,72,72,85,85,85,85,86,86,86,S3,1501530300,,1501531200,,,,,0
32,86,86,86,86,86,85,85,85,85,71,71,71,71,66,66,66,66,65,65,65,65,65,65,65,65,67,67,67,67,69,69,69,69,79,79,79,79,78,78,78,78,72,72,72,72,70,70,70,70,70,70,70,70,74,74,74,74,86,86,86,S3,1501531200,2017-07-31 20:00:00,1501532100,0,0.0,5,1.8,0
33,86,77,77,77,77,72,72,72,72,72,72,72,72,74,74,74,74,75,75,75,75,75,75,75,75,76,76,76,76,75,75,75,75,76,76,76,76,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,S3,1501532100,2017-07-31 20:15:00,1501533000,0,0.0,3,0.8,1
34,76,75,75,75,75,76,76,76,76,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,S3,1501533000,2017-07-31 20:30:00,1501533900,0,0.0,3,0.2,1
35,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,S3,1501533900,2017-07-31 20:45:00,1501534800,0,0.0,0,0.0,1
36,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75,76,76,76,76,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75,76,76,76,S3,1501534800,2017-07-31 21:00:00,1501535700,0,0.0,3,0.2,1
37,76,76,76,76,76,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75,75,75,75,75,76,76,76,S3,1501535700,2017-07-31 21:15:00,1501536600,0,0.0,0,0.0,1
38,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,77,78,78,78,S3,1501536600,2017-07-31 21:30:00,1501537500,0,0.0,2,0.133333333333333,1
39,78,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,S3,1501537500,2017-07-31 21:45:00,1501538400,0,0.0,3,0.333333333333333,1
40,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,S3,1501538400,2017-07-31 22:00:00,1501539300,0,0.0,0,0.0,1
41,78,78,78,78,78,79,79,79,79,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,80,80,80,S3,1501539300,2017-07-31 22:15:00,1501540200,0,0.0,3,0.2,1
42,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,S3,1501540200,2017-07-31 22:30:00,1501541100,0,0.0,1,0.066666666666666,1
43,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,80,80,80,80,80,80,80,S3,1501541100,2017-07-31 22:45:00,1501542000,0,0.0,3,1.53333333333333,1
44,80,80,80,80,80,80,80,80,80,82,82,82,82,88,88,88,88,90,90,90,90,84,84,84,84,83,83,83,83,80,80,80,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,80,80,80,80,79,79,79,79,79,79,79,S3,1501542000,2017-07-31 23:00:00,1501542900,0,0.0,4,1.06666666666667,1
45,79,80,80,80,80,79,79,79,79,80,80,80,80,80,80,80,80,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,S3,1501542900,2017-07-31 23:15:00,1501543800,0,0.0,2,0.2,1
46,80,80,80,80,80,80,80,80,80,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,79,79,79,79,80,80,80,80,79,79,79,79,80,80,80,S3,1501543800,2017-07-31 23:30:00,1501544700,0,0.0,2,0.133333333333333,1
47,80,79,79,79,79,80,80,80,80,79,79,79,79,80,80,80,80,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,79,79,79,79,79,79,79,79,80,80,80,80,90,90,90,S3,1501544700,2017-07-31 23:45:00,1501545600,0,0.0,4,0.533333333333333,1
48,90,84,84,84,84,84,84,84,84,81,81,81,81,80,80,80,80,80,80,80,80,79,79,79,79,79,79,79,79,85,85,85,85,88,88,88,88,82,82,82,82,81,81,81,81,80,80,80,80,79,79,79,79,79,79,79,79,79,79,79,S3,1501545600,2017-08-01 00:00:00,1501546500,0,0.0,3,0.2,1
49,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,83,83,83,S3,1501546500,2017-08-01 00:15:00,1501547400,0,0.0,3,0.533333333333333,1
50,83,87,87,87,87,70,70,70,70,77,77,77,77,79,79,79,79,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,78,78,78,S3,1501547400,2017-08-01 00:30:00,1501548300,0,0.0,3,0.533333333333333,1
51,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,78,78,78,78,78,78,78,78,78,78,78,S3,1501548300,2017-08-01 00:45:00,1501549200,0,0.0,3,0.733333333333333,1
52,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,78,78,78,78,78,78,78,78,79,79,79,79,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,S3,1501549200,2017-08-01 01:00:00,1501550100,0,0.0,4,0.533333333333333,1
53,78,78,78,78,78,88,88,88,88,78,78,78,78,74,74,74,74,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,S3,1501550100,2017-08-01 01:15:00,1501551000,0,0.0,3,0.2,1
54,73,74,74,74,74,73,73,73,73,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,S3,1501551000,2017-08-01 01:30:00,1501551900,0,0.0,0,0.0,1
55,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,S3,1501551900,2017-08-01 01:45:00,1501552800,0,0.0,0,0.0,1
56,73,73,73,73,73,80,80,80,80,67,67,67,67,65,65,65,65,65,65,65,65,64,64,64,64,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,S3,1501552800,2017-08-01 02:00:00,1501553700,0,0.0,5,0.466666666666666,1
57,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,S3,1501553700,2017-08-01 02:15:00,1501554600,0,0.0,0,0.0,1
58,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,66,66,66,66,68,68,68,68,67,67,67,67,68,68,68,68,67,67,67,67,68,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,S3,1501554600,2017-08-01 02:30:00,1501555500,0,0.0,3,0.4,1
59,67,67,67,67,67,67,67,67,67,73,73,73,73,79,79,79,79,72,72,72,72,69,69,69,69,68,68,68,68,67,67,67,67,68,68,68,68,67,67,67,67,68,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,S3,1501555500,2017-08-01 02:45:00,1501556400,0,0.0,4,0.666666666666666,1
60,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,83,83,83,83,76,76,76,76,67,67,67,67,63,63,63,63,66,66,66,66,66,66,66,S3,1501556400,2017-08-01 03:00:00,1501557300,0,0.0,3,1.06666666666667,1
61,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,S3,1501557300,2017-08-01 03:15:00,1501558200,0,0.0,3,0.2,1
62,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,S3,1501558200,2017-08-01 03:30:00,1501559100,0,0.0,3,0.2,1
63,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,S3,1501559100,2017-08-01 03:45:00,1501560000,0,0.0,0,0.0,1
64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,66,66,66,66,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,S3,1501560000,2017-08-01 04:00:00,1501560900,0,0.0,3,0.333333333333333,1
65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,69,69,69,69,80,80,80,80,85,85,85,85,76,76,76,76,72,72,72,72,70,70,70,70,70,70,70,70,70,70,70,S3,1501560900,2017-08-01 04:15:00,1501561800,0,0.0,4,0.533333333333333,1
66,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,70,70,70,70,83,83,83,83,76,76,76,76,71,71,71,71,71,71,71,71,69,69,69,S3,1501561800,2017-08-01 04:30:00,1501562700,0,0.0,3,0.666666666666666,1
67,69,68,68,68,68,68,68,68,68,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,84,84,84,84,76,76,76,76,70,70,70,70,69,69,69,69,67,67,67,67,70,70,70,70,67,67,67,67,85,85,85,S3,1501562700,2017-08-01 04:45:00,1501563600,0,0.0,7,1.8,0
68,85,100,100,100,100,104,104,104,104,95,95,95,95,90,90,90,90,100,100,100,100,95,95,95,95,99,99,99,99,91,91,91,91,89,89,89,89,81,81,81,81,81,81,81,81,79,79,79,79,74,74,74,74,74,74,74,74,79,79,79,S3,1501563600,2017-08-01 05:00:00,1501564500,0,0.0,7,4.4,0
69,79,78,78,78,78,76,76,76,76,76,76,76,76,77,77,77,77,90,90,90,90,97,97,97,97,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,S3,1501564500,2017-08-01 05:15:00,1501565400,0,0.0,7,3.13333333333333,0
70,95,95,95,95,95,95,95,95,95,94,94,94,94,92,92,92,92,96,96,96,96,102,102,102,102,99,99,99,99,88,88,88,88,87,87,87,87,88,88,88,88,85,85,85,85,84,84,84,84,88,88,88,88,88,88,88,88,87,87,87,S3,1501565400,2017-08-01 05:30:00,1501566300,0,0.0,7,4.93333333333333,0
71,87,85,85,85,85,86,86,86,86,84,84,84,84,90,90,90,90,104,104,104,104,105,105,105,105,91,91,91,91,91,91,91,91,100,100,100,100,98,98,98,98,85,85,85,85,86,86,86,86,83,83,83,83,83,83,83,83,84,84,84,S3,1501566300,2017-08-01 05:45:00,1501567200,0,0.0,7,3.26666666666667,0
72,84,83,83,83,83,84,84,84,84,82,82,82,82,90,90,90,90,90,90,90,90,85,85,85,85,85,85,85,85,85,85,85,85,83,83,83,83,86,86,86,86,86,86,86,86,85,85,85,85,88,88,88,88,85,85,85,85,83,83,83,S3,1501567200,2017-08-01 06:00:00,1501568100,0,0.0,7,5.06666666666667,0
73,83,87,87,87,87,85,85,85,85,80,80,80,80,82,82,82,82,83,83,83,83,85,85,85,85,87,87,87,87,92,92,92,92,101,101,101,101,108,108,108,108,100,100,100,100,86,86,86,86,79,79,79,79,81,81,81,81,80,80,80,S3,1501568100,2017-08-01 06:15:00,1501569000,0,0.0,7,3.6,0
74,80,79,79,79,79,80,80,80,80,77,77,77,77,76,76,76,76,80,80,80,80,86,86,86,86,87,87,87,87,80,80,80,80,76,76,76,76,74,74,74,74,73,73,73,73,72,72,72,72,72,72,72,72,73,73,73,73,71,71,71,S3,1501569000,2017-08-01 06:30:00,1501569900,0,0.0,4,2.13333333333333,0
75,71,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,73,73,73,73,72,72,72,72,81,81,81,81,87,87,87,87,96,96,96,96,93,93,93,93,94,94,94,94,84,84,84,84,83,83,83,83,83,83,83,83,83,83,83,S3,1501569900,2017-08-01 06:45:00,1501570800,0,0.0,3,2.2,0
76,83,84,84,84,84,88,88,88,88,100,100,100,100,93,93,93,93,94,94,94,94,93,93,93,93,87,87,87,87,83,83,83,83,84,84,84,84,83,83,83,83,83,83,83,83,83,83,83,83,93,93,93,93,98,98,98,98,94,94,94,S3,1501570800,2017-08-01 07:00:00,1501571700,0,0.0,7,2.0,0
77,94,88,88,88,88,85,85,85,85,86,86,86,86,86,86,86,86,87,87,87,87,108,108,108,108,123,123,123,123,123,123,123,123,105,105,105,105,122,122,122,122,126,126,126,126,119,119,119,119,98,98,98,98,99,99,99,99,100,100,100,S3,1501571700,2017-08-01 07:15:00,1501572600,0,0.0,7,3.53333333333333,0
78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,109,109,109,109,107,107,107,107,102,102,102,102,102,102,102,102,137,137,137,137,139,139,139,139,147,147,147,147,130,130,130,130,130,130,130,S3,1501572600,2017-08-01 07:30:00,1501573500,0,0.0,7,2.33333333333333,0
79,130,117,117,117,117,114,114,114,114,105,105,105,105,101,101,101,101,105,105,105,105,116,116,116,116,108,108,108,108,111,111,111,111,102,102,102,102,105,105,105,105,113,113,113,113,116,116,116,116,95,95,95,95,92,92,92,92,87,87,87,S3,1501573500,2017-08-01 07:45:00,1501574400,0,0.0,2,0.266666666666666,0
80,87,86,86,86,86,91,91,91,91,86,86,86,86,90,90,90,90,84,84,84,84,84,84,84,84,99,99,99,99,100,100,100,100,90,90,90,90,94,94,94,94,95,95,95,95,89,89,89,89,84,84,84,84,96,96,96,96,100,100,100,S3,1501574400,2017-08-01 08:00:00,1501575300,0,0.0,3,1.6,0
81,100,90,90,90,90,86,86,86,86,99,99,99,99,95,95,95,95,93,93,93,93,104,104,104,104,114,114,114,114,101,101,101,101,100,100,100,100,91,91,91,91,98,98,98,98,96,96,96,96,93,93,93,93,99,99,99,99,99,99,99,S3,1501575300,2017-08-01 08:15:00,1501576200,0,0.0,7,2.06666666666667,0
82,99,94,94,94,94,87,87,87,87,88,88,88,88,99,99,99,99,95,95,95,95,94,94,94,94,96,96,96,96,92,92,92,92,94,94,94,94,79,79,79,79,83,83,83,83,83,83,83,83,90,90,90,90,80,80,80,80,77,77,77,S3,1501576200,2017-08-01 08:30:00,1501577100,0,0.0,4,2.4,0
