,000_heartRate,015_heartRate,030_heartRate,045_heartRate,060_heartRate,075_heartRate,090_heartRate,105_heartRate,120_heartRate,135_heartRate,150_heartRate,165_heartRate,180_heartRate,195_heartRate,210_heartRate,225_heartRate,240_heartRate,255_heartRate,270_heartRate,285_heartRate,300_heartRate,315_heartRate,330_heartRate,345_heartRate,360_heartRate,375_heartRate,390_heartRate,405_heartRate,420_heartRate,435_heartRate,450_heartRate,465_heartRate,480_heartRate,495_heartRate,510_heartRate,525_heartRate,540_heartRate,555_heartRate,570_heartRate,585_heartRate,600_heartRate,615_heartRate,630_heartRate,645_heartRate,660_heartRate,675_heartRate,690_heartRate,705_heartRate,720_heartRate,735_heartRate,750_heartRate,765_heartRate,780_heartRate,795_heartRate,810_heartRate,825_heartRate,840_heartRate,855_heartRate,870_heartRate,885_heartRate,studyId,startTimeStamp,startDateTime,endTimeStamp,steps,distanceInMeters,maxMotionIntensity,meanMotionIntensity,sleepLabel
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,1501502400,2017-07-31 12:13:00,1501503300,0,0.0,5,4.5,0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,91,91,91,91,91,91,S3,1501503300,2017-07-31 12:15:00,1501504200,0,0.0,7,5.0,0
2,91,91,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,72,72,72,72,72,72,72,74,74,74,74,75,75,75,S3,1501504200,2017-07-31 12:30:00,1501505100,0,0.0,4,0.733333333333333,0
3,75,86,86,86,86,95,95,95,95,107,107,107,107,117,117,117,117,113,113,113,113,106,106,106,106,96,96,96,96,92,92,92,92,88,88,88,88,90,90,90,90,90,90,90,90,88,88,88,88,89,89,89,89,89,89,89,89,86,86,86,S3,1501505100,2017-07-31 12:45:00,1501506000,0,0.0,7,3.0,0
4,86,81,81,81,81,90,90,90,90,89,89,89,89,82,82,82,82,78,78,78,78,77,77,77,77,77,77,77,77,77,77,77,77,76,76,76,76,76,76,76,76,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,86,86,86,S3,1501506000,2017-07-31 13:00:00,1501506900,0,0.0,3,3.0,0
5,86,80,80,80,80,77,77,77,77,85,85,85,85,93,93,93,93,81,81,81,81,85,85,85,85,94,94,94,94,89,89,89,89,90,90,90,90,92,92,92,92,95,95,95,95,103,103,103,103,133,133,133,133,123,123,123,123,101,101,101,S3,1501506900,2017-07-31 13:15:00,1501507800,0,0.0,7,1.86666666666667,0
6,101,94,94,94,94,94,94,94,94,92,92,92,92,89,89,89,89,90,90,90,90,99,99,99,99,100,100,100,100,102,102,102,102,100,100,100,100,92,92,92,92,90,90,90,90,96,96,96,96,96,96,96,96,92,92,92,92,91,91,91,S3,1501507800,2017-07-31 13:30:00,1501508700,0,0.0,3,0.8,0
7,91,89,89,89,89,90,90,90,90,87,87,87,87,104,104,104,104,100,100,100,100,91,91,91,91,90,90,90,90,88,88,88,88,94,94,94,94,97,97,97,97,97,97,97,97,95,95,95,95,86,86,86,86,84,84,84,84,91,91,91,S3,1501508700,2017-07-31 13:45:00,1501509600,0,0.0,4,1.06666666666667,0
8,91,96,96,96,96,87,87,87,87,85,85,85,85,85,85,85,85,84,84,84,84,97,97,97,97,91,91,91,91,85,85,85,85,86,86,86,86,88,88,88,88,90,90,90,90,100,100,100,100,104,104,104,104,93,93,93,93,87,87,87,S3,1501509600,2017-07-31 14:00:00,1501510500,0,0.0,4,2.06666666666667,0
9,87,88,88,88,88,92,92,92,92,84,84,84,84,81,81,81,81,88,88,88,88,95,95,95,95,89,89,89,89,84,84,84,84,111,111,111,111,102,102,102,102,85,85,85,85,77,77,77,77,79,79,79,79,79,79,79,79,79,79,79,S3,1501510500,2017-07-31 14:15:00,1501511400,0,0.0,7,2.53333333333333,0
