startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
1501444860,1501481100,0,2017-07-30,20:01:00,2017-07-31,06:05:00
1501537140,1501565880,0,2017-07-31,21:39:00,2017-08-01,05:38:00
1501623900,1501650480,0,2017-08-01,21:45:00,2017-08-02,05:08:00
1501712220,1501750260,0,2017-08-02,22:17:00,2017-08-03,08:51:00
1501800060,1501832400,0,2017-08-03,22:41:00,2017-08-04,07:40:00
1501877280,1501909680,0,2017-08-04,20:08:00,2017-08-05,05:08:00
1501970640,1501997700,0,2017-08-05,22:04:00,2017-08-06,05:35:00
1502141280,1502169840,0,2017-08-07,21:28:00,2017-08-08,05:24:00
1502224140,1502254680,0,2017-08-08,20:29:00,2017-08-09,04:58:00
1502315220,1502351640,0,2017-08-09,21:47:00,2017-08-10,07:54:00
1502406840,1502438160,0,2017-08-10,23:14:00,2017-08-11,07:56:00
1502477520,1502516160,0,2017-08-11,18:52:00,2017-08-12,05:36:00
1502573340,1502611620,0,2017-08-12,21:29:00,2017-08-13,08:07:00
1502663100,1502687340,0,2017-08-13,22:25:00,2017-08-14,05:09:00
1502750280,1502774820,0,2017-08-14,22:38:00,2017-08-15,05:27:00
1502831220,1502862060,0,2017-08-15,21:07:00,2017-08-16,05:41:00
1502923560,1502958840,0,2017-08-16,22:46:00,2017-08-17,08:34:00
1503014220,1503047280,0,2017-08-17,23:57:00,2017-08-18,09:08:00
1503096900,1503130680,0,2017-08-18,22:55:00,2017-08-19,08:18:00
1503186720,1503218220,0,2017-08-19,23:52:00,2017-08-20,08:37:00
1503268380,1503289440,0,2017-08-20,22:33:00,2017-08-21,04:24:00
1503440160,1503476940,0,2017-08-22,22:16:00,2017-08-23,08:29:00
1503533220,1503566400,0,2017-08-24,00:07:00,2017-08-24,09:20:00
1503620040,1503651600,0,2017-08-25,00:14:00,2017-08-25,09:00:00
1503697500,1503722940,0,2017-08-25,21:45:00,2017-08-26,04:49:00
1503781380,1503810540,0,2017-08-26,21:03:00,2017-08-27,05:09:00
1503875400,1503896880,0,2017-08-27,23:10:00,2017-08-28,05:08:00
1503960660,1503982860,0,2017-08-28,22:51:00,2017-08-29,05:01:00
1504046940,1504067340,0,2017-08-29,22:49:00,2017-08-30,04:29:00
1504138620,1504171020,0,2017-08-31,00:17:00,2017-08-31,09:17:00
1504223880,1504256760,0,2017-08-31,23:58:00,2017-09-01,09:06:00
1504301820,1504327440,0,2017-09-01,21:37:00,2017-09-02,04:44:00
1504392060,1504417020,0,2017-09-02,22:41:00,2017-09-03,05:37:00
1504481640,1504501680,0,2017-09-03,23:34:00,2017-09-04,05:08:00
1504557960,1504589580,0,2017-09-04,20:46:00,2017-09-05,05:33:00
1504641300,1504671960,0,2017-09-05,19:55:00,2017-09-06,04:26:00
1504735200,1504772100,0,2017-09-06,22:00:00,2017-09-07,08:15:00
1504825980,1504859460,0,2017-09-07,23:13:00,2017-09-08,08:31:00
1504909740,1504932000,0,2017-09-08,22:29:00,2017-09-09,04:40:00
1504988760,1505019900,0,2017-09-09,20:26:00,2017-09-10,05:05:00
1505075160,1505105220,0,2017-09-10,20:26:00,2017-09-11,04:47:00
1505174700,1505204040,0,2017-09-12,00:05:00,2017-09-12,08:14:00
1505257320,1505289300,0,2017-09-12,23:02:00,2017-09-13,07:55:00
1505343900,1505375520,0,2017-09-13,23:05:00,2017-09-14,07:52:00
1505433720,1505465760,0,2017-09-15,00:02:00,2017-09-15,08:56:00
1505517720,1505548320,0,2017-09-15,23:22:00,2017-09-16,07:52:00
1505597580,1505630520,0,2017-09-16,21:33:00,2017-09-17,06:42:00
1506123060,1506148020,0,2017-09-22,23:31:00,2017-09-23,06:27:00
1506194340,1506235020,0,2017-09-23,19:19:00,2017-09-24,06:37:00
1506293040,1506323580,0,2017-09-24,22:44:00,2017-09-25,07:13:00
1506379440,1506398520,0,2017-09-25,22:44:00,2017-09-26,04:02:00
1506651660,1506658800,0,2017-09-29,02:21:00,2017-09-29,04:20:00
1506802860,1506834300,0,2017-09-30,20:21:00,2017-10-01,05:05:00
1506889080,1506928680,0,2017-10-01,20:18:00,2017-10-02,07:18:00
1506992040,1507015860,0,2017-10-03,00:54:00,2017-10-03,07:31:00
1507417320,1507451760,0,2017-10-07,23:02:00,2017-10-08,08:36:00
1507503060,1507530060,0,2017-10-08,22:51:00,2017-10-09,06:21:00
1507586880,1507613520,0,2017-10-09,22:08:00,2017-10-10,05:32:00
1507662480,1507700880,0,2017-10-10,19:08:00,2017-10-11,05:48:00
1508098380,1508111760,0,2017-10-15,20:13:00,2017-10-15,23:56:00
1508186700,1508220840,0,2017-10-16,20:45:00,2017-10-17,06:14:00
1508280180,1508310120,0,2017-10-17,22:43:00,2017-10-18,07:02:00
1508387580,1508414160,0,2017-10-19,04:33:00,2017-10-19,11:56:00
1508800680,1508826840,0,2017-10-23,23:18:00,2017-10-24,06:34:00
1509059880,1509088200,0,2017-10-26,23:18:00,2017-10-27,07:10:00
1509490740,1509524760,0,2017-10-31,22:59:00,2017-11-01,08:26:00
1509577680,1509606420,0,2017-11-01,23:08:00,2017-11-02,07:07:00
1509749160,1509773880,0,2017-11-03,22:46:00,2017-11-04,05:38:00
