startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
1486247760,1486275120,0,2017-02-04,22:36:00,2017-02-05,06:12:00
1486333980,1486361280,0,2017-02-05,22:33:00,2017-02-06,06:08:00
1486417620,1486448520,0,2017-02-06,21:47:00,2017-02-07,06:22:00
1486509120,1486534560,0,2017-02-07,23:12:00,2017-02-08,06:16:00
1486599600,1486631160,0,2017-02-09,00:20:00,2017-02-09,09:06:00
1486681380,1486713120,0,2017-02-09,23:03:00,2017-02-10,07:52:00
1486771080,1486791240,0,2017-02-10,23:58:00,2017-02-11,05:34:00
1486850880,1486880100,0,2017-02-11,22:08:00,2017-02-12,06:15:00
1486935600,1486966320,0,2017-02-12,21:40:00,2017-02-13,06:12:00
1487028180,1487053920,0,2017-02-13,23:23:00,2017-02-14,06:32:00
1487118540,1487139660,0,2017-02-15,00:29:00,2017-02-15,06:21:00
1487198340,1487235540,0,2017-02-15,22:39:00,2017-02-16,08:59:00
1487291040,1487328900,0,2017-02-17,00:24:00,2017-02-17,10:55:00
1487382480,1487398320,0,2017-02-18,01:48:00,2017-02-18,06:12:00
1487457240,1487485080,0,2017-02-18,22:34:00,2017-02-19,06:18:00
1487550540,1487575620,0,2017-02-20,00:29:00,2017-02-20,07:27:00
1487623860,1487653440,0,2017-02-20,20:51:00,2017-02-21,05:04:00
1487718180,1487745180,0,2017-02-21,23:03:00,2017-02-22,06:33:00
1487807700,1487837580,0,2017-02-22,23:55:00,2017-02-23,08:13:00
1487899200,1487922780,0,2017-02-24,01:20:00,2017-02-24,07:53:00
1487982240,1488008460,0,2017-02-25,00:24:00,2017-02-25,07:41:00
1488063360,1488093000,0,2017-02-25,22:56:00,2017-02-26,07:10:00
1488247080,1488274620,0,2017-02-28,01:58:00,2017-02-28,09:37:00
1488336240,1488362760,0,2017-03-01,02:44:00,2017-03-01,10:06:00
1488420600,1488441480,0,2017-03-02,02:10:00,2017-03-02,07:58:00
1488498960,1488535080,0,2017-03-02,23:56:00,2017-03-03,09:58:00
1488586200,1488607680,0,2017-03-04,00:10:00,2017-03-04,06:08:00
1488668340,1488694080,0,2017-03-04,22:59:00,2017-03-05,06:08:00
1488754740,1488780180,0,2017-03-05,22:59:00,2017-03-06,06:03:00
1488843180,1488867240,0,2017-03-06,23:33:00,2017-03-07,06:14:00
1488926760,1488950760,0,2017-03-07,22:46:00,2017-03-08,05:26:00
1489118220,1489144620,0,2017-03-10,03:57:00,2017-03-10,11:17:00
1489183500,1489215180,0,2017-03-10,22:05:00,2017-03-11,06:53:00
1489269780,1489297740,0,2017-03-11,22:03:00,2017-03-12,05:49:00
1489362300,1489385580,0,2017-03-12,23:45:00,2017-03-13,06:13:00
1489450800,1489470960,0,2017-03-14,00:20:00,2017-03-14,05:56:00
1489529280,1489555080,0,2017-03-14,22:08:00,2017-03-15,05:18:00
1489620060,1489647600,0,2017-03-15,23:21:00,2017-03-16,07:00:00
1489716900,1489745400,0,2017-03-17,02:15:00,2017-03-17,10:10:00
1489790820,1489820580,0,2017-03-17,22:47:00,2017-03-18,07:03:00
1489878000,1489902780,0,2017-03-18,23:00:00,2017-03-19,05:53:00
1489972860,1490003700,0,2017-03-20,01:21:00,2017-03-20,09:55:00
1490060100,1490090760,0,2017-03-21,01:35:00,2017-03-21,10:06:00
1490141940,1490177700,0,2017-03-22,00:19:00,2017-03-22,10:15:00
1490236560,1490266440,0,2017-03-23,02:36:00,2017-03-23,10:54:00
1490308260,1490342820,0,2017-03-23,22:31:00,2017-03-24,08:07:00
1490401620,1490428560,0,2017-03-25,00:27:00,2017-03-25,07:56:00
1490491560,1490515620,0,2017-03-26,01:26:00,2017-03-26,08:07:00
1490572200,1490602860,0,2017-03-26,23:50:00,2017-03-27,08:21:00
1490663460,1490687760,0,2017-03-28,01:11:00,2017-03-28,07:56:00
1490839020,1490869140,0,2017-03-30,01:57:00,2017-03-30,10:19:00
1490923920,1490952360,0,2017-03-31,01:32:00,2017-03-31,09:26:00
1491013800,1491041100,0,2017-04-01,02:30:00,2017-04-01,10:05:00
1491097320,1491119520,0,2017-04-02,01:42:00,2017-04-02,07:52:00
1491177660,1491207180,0,2017-04-03,00:01:00,2017-04-03,08:13:00
1491265440,1491292680,0,2017-04-04,00:24:00,2017-04-04,07:58:00
1491351420,1491376560,0,2017-04-05,00:17:00,2017-04-05,07:16:00
1491439260,1491468840,0,2017-04-06,00:41:00,2017-04-06,08:54:00
1491523620,1491563220,0,2017-04-07,00:07:00,2017-04-07,11:07:00
1491629100,1491648420,0,2017-04-08,05:25:00,2017-04-08,10:47:00
1491783660,1491811440,0,2017-04-10,00:21:00,2017-04-10,08:04:00
1491872700,1491898080,0,2017-04-11,01:05:00,2017-04-11,08:08:00
1491955020,1491983520,0,2017-04-11,23:57:00,2017-04-12,07:52:00
1492041840,1492071720,0,2017-04-13,00:04:00,2017-04-13,08:22:00
1492136340,1492161300,0,2017-04-14,02:19:00,2017-04-14,09:15:00
1492217880,1492250460,0,2017-04-15,00:58:00,2017-04-15,10:01:00
1492306680,1492334460,0,2017-04-16,01:38:00,2017-04-16,09:21:00
1492395000,1492423680,0,2017-04-17,02:10:00,2017-04-17,10:08:00
1492472160,1492501980,0,2017-04-17,23:36:00,2017-04-18,07:53:00
1492559760,1492590360,0,2017-04-18,23:56:00,2017-04-19,08:26:00
1492646640,1492676400,0,2017-04-20,00:04:00,2017-04-20,08:20:00
1492737960,1492762260,0,2017-04-21,01:26:00,2017-04-21,08:11:00
1492818120,1492851180,0,2017-04-21,23:42:00,2017-04-22,08:53:00
1492904160,1492928520,0,2017-04-22,23:36:00,2017-04-23,06:22:00
1492990980,1493024640,0,2017-04-23,23:43:00,2017-04-24,09:04:00
