startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
1501531800,1501562760,0,2017-07-31,20:10:00,2017-08-01,04:46:00
1501618680,1501648860,0,2017-08-01,20:18:00,2017-08-02,04:41:00
1501804380,1501830720,0,2017-08-03,23:53:00,2017-08-04,07:12:00
1501884960,1501908780,0,2017-08-04,22:16:00,2017-08-05,04:53:00
1502052000,1502079900,0,2017-08-06,20:40:00,2017-08-07,04:25:00
1502143380,1502168460,0,2017-08-07,22:03:00,2017-08-08,05:01:00
1502228880,1502254860,0,2017-08-08,21:48:00,2017-08-09,05:01:00
1502317140,1502352300,0,2017-08-09,22:19:00,2017-08-10,08:05:00
1502486280,1502514240,0,2017-08-11,21:18:00,2017-08-12,05:04:00
1502583540,1502610240,0,2017-08-13,00:19:00,2017-08-13,07:44:00
1502661540,1502687400,0,2017-08-13,21:59:00,2017-08-14,05:10:00
1502748240,1502772240,0,2017-08-14,22:04:00,2017-08-15,04:44:00
1502833440,1502861460,0,2017-08-15,21:44:00,2017-08-16,05:31:00
1502926680,1502954940,0,2017-08-16,23:38:00,2017-08-17,07:29:00
1503096480,1503131160,0,2017-08-18,22:48:00,2017-08-19,08:26:00
1503186900,1503219480,0,2017-08-19,23:55:00,2017-08-20,08:58:00
1503350940,1503392760,0,2017-08-21,21:29:00,2017-08-22,09:06:00
1503449040,1503481140,0,2017-08-23,00:44:00,2017-08-23,09:39:00
1503625740,1503645540,0,2017-08-25,01:49:00,2017-08-25,07:19:00
1503696060,1503722700,0,2017-08-25,21:21:00,2017-08-26,04:45:00
1503873720,1503898740,0,2017-08-27,22:42:00,2017-08-28,05:39:00
1503960720,1503984960,0,2017-08-28,22:52:00,2017-08-29,05:36:00
1504301460,1504328040,0,2017-09-01,21:31:00,2017-09-02,04:54:00
1504392120,1504417140,0,2017-09-02,22:42:00,2017-09-03,05:39:00
1504480560,1504503300,0,2017-09-03,23:16:00,2017-09-04,05:35:00
1504556760,1504588740,0,2017-09-04,20:26:00,2017-09-05,05:19:00
1504821900,1504837740,0,2017-09-07,22:05:00,2017-09-08,02:29:00
1504903560,1504934100,0,2017-09-08,20:46:00,2017-09-09,05:15:00
1504994460,1505021700,0,2017-09-09,22:01:00,2017-09-10,05:35:00
1505082660,1505109660,0,2017-09-10,22:31:00,2017-09-11,06:01:00
1505776740,1505813640,0,2017-09-18,23:19:00,2017-09-19,09:34:00
1505849820,1505887860,0,2017-09-19,19:37:00,2017-09-20,06:11:00
1506015660,1506031260,0,2017-09-21,17:41:00,2017-09-21,22:01:00
1506399720,1506426240,0,2017-09-26,04:22:00,2017-09-26,11:44:00
1506455760,1506492780,0,2017-09-26,19:56:00,2017-09-27,06:13:00
1506561900,1506590760,0,2017-09-28,01:25:00,2017-09-28,09:26:00
1506619500,1506643740,0,2017-09-28,17:25:00,2017-09-29,00:09:00
1506707400,1506723180,0,2017-09-29,17:50:00,2017-09-29,22:13:00
1506890280,1506911460,0,2017-10-01,20:38:00,2017-10-02,02:31:00
1507070520,1507097760,0,2017-10-03,22:42:00,2017-10-04,06:16:00
1507169460,1507189440,0,2017-10-05,02:11:00,2017-10-05,07:44:00
1507250280,1507280580,0,2017-10-06,00:38:00,2017-10-06,09:03:00
1507343940,1507384200,0,2017-10-07,02:39:00,2017-10-07,13:50:00
1507762380,1507783740,0,2017-10-11,22:53:00,2017-10-12,04:49:00
1507846260,1507886880,0,2017-10-12,22:11:00,2017-10-13,09:28:00
1507940400,1507962240,0,2017-10-14,00:20:00,2017-10-14,06:24:00
1508035200,1508075760,0,2017-10-15,02:40:00,2017-10-15,13:56:00
1508550300,1508575200,0,2017-10-21,01:45:00,2017-10-21,08:40:00
1508644260,1508680740,0,2017-10-22,03:51:00,2017-10-22,13:59:00
1509316920,1509348420,0,2017-10-29,22:42:00,2017-10-30,07:27:00
1509396660,1509425760,0,2017-10-30,20:51:00,2017-10-31,04:56:00
