startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
1517957940,1517984100,0,2018-02-06,22:59:00,2018-02-07,06:15:00
1518044640,1518082020,0,2018-02-07,23:04:00,2018-02-08,09:27:00
1518133560,1518165540,0,2018-02-08,23:46:00,2018-02-09,08:39:00
1518217200,1518245100,0,2018-02-09,23:00:00,2018-02-10,06:45:00
1518301500,1518339480,0,2018-02-10,22:25:00,2018-02-11,08:58:00
1518397560,1518423960,0,2018-02-12,01:06:00,2018-02-12,08:26:00
1518478620,1518507960,0,2018-02-12,23:37:00,2018-02-13,07:46:00
1518564180,1518587340,0,2018-02-13,23:23:00,2018-02-14,05:49:00
1518651300,1518680700,0,2018-02-14,23:35:00,2018-02-15,07:45:00
1518738180,1518767580,0,2018-02-15,23:43:00,2018-02-16,07:53:00
1518824040,1518850860,0,2018-02-16,23:34:00,2018-02-17,07:01:00
1518910260,1518936600,0,2018-02-17,23:31:00,2018-02-18,06:50:00
1518991860,1519021920,0,2018-02-18,22:11:00,2018-02-19,06:32:00
1519080660,1519109580,0,2018-02-19,22:51:00,2018-02-20,06:53:00
1519167540,1519192200,0,2018-02-20,22:59:00,2018-02-21,05:50:00
1519253100,1519287480,0,2018-02-21,22:45:00,2018-02-22,08:18:00
1519336320,1519362900,0,2018-02-22,21:52:00,2018-02-23,05:15:00
1519429380,1519447980,0,2018-02-23,23:43:00,2018-02-24,04:53:00
1519510380,1519541700,0,2018-02-24,22:13:00,2018-02-25,06:55:00
1519601520,1519627200,0,2018-02-25,23:32:00,2018-02-26,06:40:00
1519772580,1519804140,0,2018-02-27,23:03:00,2018-02-28,07:49:00
1519859580,1519890960,0,2018-02-28,23:13:00,2018-03-01,07:56:00
1519944540,1519975620,0,2018-03-01,22:49:00,2018-03-02,07:27:00
1520033340,1520063160,0,2018-03-02,23:29:00,2018-03-03,07:46:00
1520121600,1520151900,0,2018-03-04,00:00:00,2018-03-04,08:25:00
1520552460,1520583840,0,2018-03-08,23:41:00,2018-03-09,08:24:00
1520634780,1520665740,0,2018-03-09,22:33:00,2018-03-10,07:09:00
1520721360,1520754300,0,2018-03-10,22:36:00,2018-03-11,07:45:00
1520813640,1520846460,0,2018-03-12,00:14:00,2018-03-12,09:21:00
1521247080,1521274080,0,2018-03-17,00:38:00,2018-03-17,08:08:00
1521337500,1521373200,0,2018-03-18,01:45:00,2018-03-18,11:40:00
1521503820,1521541380,0,2018-03-19,23:57:00,2018-03-20,10:23:00
1521933600,1521965520,0,2018-03-24,23:20:00,2018-03-25,08:12:00
1522018740,1522051920,0,2018-03-25,22:59:00,2018-03-26,08:12:00
1522107660,1522142880,0,2018-03-26,23:41:00,2018-03-27,09:28:00
1522198920,1522235700,0,2018-03-28,01:02:00,2018-03-28,11:15:00
1522636800,1522674420,0,2018-04-02,02:40:00,2018-04-02,13:07:00
1522714380,1522745100,0,2018-04-03,00:13:00,2018-04-03,08:45:00
1522801620,1522828500,0,2018-04-04,00:27:00,2018-04-04,07:55:00
1522891380,1522928280,0,2018-04-05,01:23:00,2018-04-05,11:38:00
1523037720,1523048340,0,2018-04-06,18:02:00,2018-04-06,20:59:00
1523408160,1523434800,0,2018-04-11,00:56:00,2018-04-11,08:20:00
1523493720,1523526180,0,2018-04-12,00:42:00,2018-04-12,09:43:00
1523661300,1523694360,0,2018-04-13,23:15:00,2018-04-14,08:26:00
1523747700,1523782800,0,2018-04-14,23:15:00,2018-04-15,09:00:00
1524100080,1524129060,0,2018-04-19,01:08:00,2018-04-19,09:11:00
1524185160,1524214380,0,2018-04-20,00:46:00,2018-04-20,08:53:00
1524351720,1524378720,0,2018-04-21,23:02:00,2018-04-22,06:32:00
1524436980,1524466260,0,2018-04-22,22:43:00,2018-04-23,06:51:00
1524526020,1524552600,0,2018-04-23,23:27:00,2018-04-24,06:50:00
