startTimeStamp,endTimeStamp,startDate,startTime,durationInSeconds,maxMotionIntensity,meanMotionIntensity,steps,distanceInMeters,activityType,activeKilocalories
1501503180,1501503300,2017-07-31,12:13:00,120,5,4.5,0,0.0,SEDENTARY,0
1501503300,1501504004,2017-07-31,12:15:00,704,7,5.0,0,0.0,SEDENTARY,0
1501504200,1501504324,2017-07-31,12:30:00,124,4,0.733333333333333,0,0.0,SEDENTARY,0
1501505100,1501505640,2017-07-31,12:45:00,540,7,3.0,0,0.0,SEDENTARY,2
1501506000,1501506900,2017-07-31,13:00:00,900,3,3.0,0,0.0,SEDENTARY,0
1501506900,1501507434,2017-07-31,13:15:00,534,7,1.86666666666667,0,0.0,SEDENTARY,5
1501507800,1501508220,2017-07-31,13:30:00,420,3,0.8,0,0.0,SEDENTARY,7
1501508700,1501509240,2017-07-31,13:45:00,540,4,1.06666666666667,0,0.0,SEDENTARY,6
1501509600,1501510320,2017-07-31,14:00:00,720,4,2.06666666666667,0,0.0,SEDENTARY,5
1501510500,1501511265,2017-07-31,14:15:00,765,7,2.53333333333333,0,0.0,SEDENTARY,3
1501511400,1501512185,2017-07-31,14:30:00,785,7,2.73333333333333,0,0.0,SEDENTARY,4
1501512300,1501513140,2017-07-31,14:45:00,840,4,2.66666666666667,0,0.0,SEDENTARY,0
1501513200,1501514100,2017-07-31,15:00:00,900,3,2.46666666666667,0,0.0,SEDENTARY,0
1501514100,1501514985,2017-07-31,15:15:00,885,7,3.26666666666667,0,0.0,SEDENTARY,0
1501515000,1501515803,2017-07-31,15:30:00,803,7,5.26666666666667,0,0.0,SEDENTARY,0
1501515900,1501516800,2017-07-31,15:45:00,900,3,2.8,0,0.0,SEDENTARY,0
1501516800,1501517700,2017-07-31,16:00:00,900,4,3.46666666666667,0,0.0,SEDENTARY,0
1501517700,1501518429,2017-07-31,16:15:00,729,7,4.46666666666667,0,0.0,SEDENTARY,0
1501518600,1501519422,2017-07-31,16:30:00,822,7,4.06666666666667,0,0.0,SEDENTARY,2
1501519500,1501520309,2017-07-31,16:45:00,809,7,4.93333333333333,0,0.0,SEDENTARY,0
1501520400,1501521008,2017-07-31,17:00:00,608,7,6.26666666666667,0,0.0,SEDENTARY,0
1501521300,1501522200,2017-07-31,17:15:00,900,5,1.8,0,0.0,SEDENTARY,0
