startTimeStamp,endTimeStamp,startDate,startTime,durationInSeconds,maxMotionIntensity,meanMotionIntensity,steps,distanceInMeters,activityType,activeKilocalories
1518263160,1518263968,2018-02-10,11:46:00,808,7,3.90909090909091,0,0.0,SEDENTARY,0
1518264000,1518264720,2018-02-10,12:00:00,720,7,4.6,0,0.0,SEDENTARY,0
1518264900,1518265440,2018-02-10,12:15:00,540,7,4.86666666666667,0,0.0,SEDENTARY,0
1518265800,1518266700,2018-02-10,12:30:00,900,3,1.26666666666667,0,0.0,SEDENTARY,0
1518266700,1518267600,2018-02-10,12:45:00,900,3,2.2,0,0.0,SEDENTARY,0
1518267600,1518268500,2018-02-10,13:00:00,900,3,1.66666666666667,0,0.0,SEDENTARY,0
1518268500,1518269340,2018-02-10,13:15:00,840,7,3.66666666666667,0,0.0,SEDENTARY,0
1518269400,1518270120,2018-02-10,13:30:00,720,7,3.66666666666667,0,0.0,SEDENTARY,0
1518270300,1518271200,2018-02-10,13:45:00,900,3,2.06666666666667,0,0.0,SEDENTARY,0
1518271200,1518272100,2018-02-10,14:00:00,900,2,1.0,0,0.0,SEDENTARY,0
1518272100,1518273000,2018-02-10,14:15:00,900,3,2.26666666666667,0,0.0,SEDENTARY,0
1518273000,1518273660,2018-02-10,14:30:00,660,7,4.26666666666667,0,0.0,SEDENTARY,0
1518273900,1518274800,2018-02-10,14:45:00,900,4,2.86666666666667,0,0.0,SEDENTARY,0
1518274800,1518275700,2018-02-10,15:00:00,900,3,0.8,0,0.0,SEDENTARY,0
1518275700,1518276600,2018-02-10,15:15:00,900,4,1.6,0,0.0,SEDENTARY,0
1518276600,1518277500,2018-02-10,15:30:00,900,3,1.4,0,0.0,SEDENTARY,0
1518277500,1518278400,2018-02-10,15:45:00,900,3,1.66666666666667,0,0.0,SEDENTARY,0
1518278400,1518279060,2018-02-10,16:00:00,660,7,4.2,0,0.0,SEDENTARY,0
1518279300,1518280080,2018-02-10,16:15:00,780,7,2.13333333333333,0,0.0,SEDENTARY,0
1518280200,1518281100,2018-02-10,16:30:00,900,3,2.13333333333333,0,0.0,SEDENTARY,0
1518281100,1518282000,2018-02-10,16:45:00,900,3,0.866666666666666,0,0.0,SEDENTARY,0
1518282000,1518282900,2018-02-10,17:00:00,900,4,1.73333333333333,0,0.0,SEDENTARY,0
1518282900,1518283500,2018-02-10,17:15:00,600,7,3.93333333333333,0,0.0,SEDENTARY,0
1518283800,1518284700,2018-02-10,17:30:00,900,3,1.86666666666667,0,0.0,SEDENTARY,0
1518284700,1518285600,2018-02-10,17:45:00,900,2,1.33333333333333,0,0.0,SEDENTARY,0
1518285600,1518286500,2018-02-10,18:00:00,900,4,2.0,0,0.0,SEDENTARY,0
1518286500,1518286920,2018-02-10,18:15:00,420,7,6.2,0,0.0,SEDENTARY,0
1518287400,1518288120,2018-02-10,18:30:00,720,7,4.53333333333333,0,0.0,SEDENTARY,0
1518288300,1518289200,2018-02-10,18:45:00,900,4,4.0,0,0.0,SEDENTARY,0
1518289200,1518290100,2018-02-10,19:00:00,900,4,4.0,0,0.0,SEDENTARY,0
1518290100,1518290760,2018-02-10,19:15:00,660,7,5.53333333333333,0,0.0,SEDENTARY,0
1518291000,1518291420,2018-02-10,19:30:00,420,7,6.13333333333333,0,0.0,SEDENTARY,0
1518291900,1518292080,2018-02-10,19:45:00,180,7,6.4,0,0.0,SEDENTARY,0
1518292800,1518293340,2018-02-10,20:00:00,540,7,6.2,0,0.0,SEDENTARY,0
1518293700,1518294420,2018-02-10,20:15:00,720,7,4.46666666666667,0,0.0,SEDENTARY,0
1518294600,1518295440,2018-02-10,20:30:00,840,7,3.86666666666667,0,0.0,SEDENTARY,0
1518295500,1518296340,2018-02-10,20:45:00,840,7,2.66666666666667,0,0.04,SEDENTARY,0
1518296400,1518297300,2018-02-10,21:00:00,900,3,2.06666666666667,0,0.0,SEDENTARY,0
1518297300,1518297780,2018-02-10,21:15:00,480,7,5.06666666666667,0,0.0,SEDENTARY,0
1518298200,1518298860,2018-02-10,21:30:00,660,7,6.0,0,0.0,SEDENTARY,0
1518299100,1518300720,2018-02-10,21:45:00,1620,7,5.90909090909091,0,0.0,SEDENTARY,0
1518300900,1518301800,2018-02-10,22:15:00,900,7,1.26666666666667,0,0.0,SEDENTARY,0
1518301800,1518302700,2018-02-10,22:30:00,900,2,0.4,0,0.0,SEDENTARY,0
1518302700,1518303600,2018-02-10,22:45:00,900,3,0.333333333333333,0,0.0,SEDENTARY,0
1518303600,1518304500,2018-02-10,23:00:00,900,4,0.8,0,0.0,SEDENTARY,0
1518304500,1518305400,2018-02-10,23:15:00,900,0,0.0,0,0.0,SEDENTARY,0
1518305400,1518306300,2018-02-10,23:30:00,900,3,0.4,0,0.0,SEDENTARY,0
1518306300,1518307200,2018-02-10,23:45:00,900,0,0.0,0,0.0,SEDENTARY,1
1518307200,1518308100,2018-02-11,00:00:00,900,2,0.133333333333333,0,0.0,SEDENTARY,0
1518308100,1518309000,2018-02-11,00:15:00,900,0,0.0,0,0.0,SEDENTARY,0
1518309000,1518309900,2018-02-11,00:30:00,900,0,0.0,0,0.0,SEDENTARY,0
1518309900,1518310800,2018-02-11,00:45:00,900,4,0.466666666666666,0,0.0,SEDENTARY,0
1518310800,1518311700,2018-02-11,01:00:00,900,1,0.066666666666666,0,0.0,SEDENTARY,0
1518311700,1518312600,2018-02-11,01:15:00,900,3,0.6,0,0.0,SEDENTARY,0
1518312600,1518313500,2018-02-11,01:30:00,900,3,0.2,0,0.0,SEDENTARY,0
1518313500,1518314400,2018-02-11,01:45:00,900,0,0.0,0,0.0,SEDENTARY,0
1518314400,1518315300,2018-02-11,02:00:00,900,4,0.266666666666666,0,0.0,SEDENTARY,0
1518315300,1518316200,2018-02-11,02:15:00,900,0,0.0,0,0.0,SEDENTARY,0
1518316200,1518317100,2018-02-11,02:30:00,900,2,0.666666666666666,0,0.0,SEDENTARY,0
1518317100,1518318000,2018-02-11,02:45:00,900,3,0.266666666666666,0,0.0,SEDENTARY,0
1518318000,1518318900,2018-02-11,03:00:00,900,3,0.333333333333333,0,0.0,SEDENTARY,0
