startTimeStamp,endTimeStamp,startDate,startTime,durationInSeconds,maxMotionIntensity,meanMotionIntensity,steps,distanceInMeters,activityType,activeKilocalories
1517922480,1517922900,2018-02-06,13:08:00,420,5,4.14285714285714,0,0.0,SEDENTARY,0
1517922900,1517923260,2018-02-06,13:15:00,360,7,6.4,0,0.0,SEDENTARY,0
1517923800,1517924460,2018-02-06,13:30:00,660,7,2.46666666666667,0,0.0,SEDENTARY,0
1517924700,1517924700,2018-02-06,13:45:00,0,7,3.26666666666667,0,0.0,GENERIC,16
1517925600,1517926260,2018-02-06,14:00:00,660,7,2.13333333333333,0,0.0,SEDENTARY,0
1517926500,1517927160,2018-02-06,14:15:00,660,7,1.86666666666667,0,0.04,SEDENTARY,0
1517927400,1517928173,2018-02-06,14:30:00,773,7,4.33333333333333,0,0.0,SEDENTARY,0
1517928300,1517928840,2018-02-06,14:45:00,540,7,3.13333333333333,0,0.0,SEDENTARY,0
1517929200,1517929800,2018-02-06,15:00:00,600,7,2.33333333333333,0,0.0,SEDENTARY,4
1517930100,1517930820,2018-02-06,15:15:00,720,7,2.13333333333333,0,0.0,SEDENTARY,0
1517931000,1517931540,2018-02-06,15:30:00,540,7,2.8,0,0.0,SEDENTARY,4
1517931900,1517931900,2018-02-06,15:45:00,0,0,0.0,0,0.0,GENERIC,80
1517932800,1517932800,2018-02-06,16:00:00,0,7,0.933333333333333,0,0.0,GENERIC,50
1517933700,1517934480,2018-02-06,16:15:00,780,7,2.6,0,0.02,SEDENTARY,5
1517934600,1517935379,2018-02-06,16:30:00,779,7,4.53333333333333,0,0.0,SEDENTARY,0
1517935500,1517936340,2018-02-06,16:45:00,840,7,3.53333333333333,0,0.0,SEDENTARY,0
1517936400,1517937000,2018-02-06,17:00:00,600,7,5.4,0,0.0,SEDENTARY,0
1517937300,1517938200,2018-02-06,17:15:00,900,5,1.33333333333333,0,0.0,SEDENTARY,0
1517938200,1517938860,2018-02-06,17:30:00,660,7,6.06666666666667,0,0.0,SEDENTARY,0
1517939100,1517939880,2018-02-06,17:45:00,780,7,5.06666666666667,0,0.0,SEDENTARY,0
1517940000,1517940660,2018-02-06,18:00:00,660,7,4.46666666666667,0,0.0,SEDENTARY,0
1517940900,1517941800,2018-02-06,18:15:00,900,3,1.8,0,0.0,SEDENTARY,0
1517941800,1517942280,2018-02-06,18:30:00,480,7,5.33333333333333,0,0.0,SEDENTARY,0
1517942700,1517943540,2018-02-06,18:45:00,840,7,3.33333333333333,0,0.0,SEDENTARY,0
1517943600,1517944320,2018-02-06,19:00:00,720,7,4.26666666666667,0,0.0,SEDENTARY,0
1517944500,1517945100,2018-02-06,19:15:00,600,7,5.13333333333333,0,0.0,SEDENTARY,0
1517945400,1517946300,2018-02-06,19:30:00,900,4,4.0,0,0.0,SEDENTARY,0
1517946300,1517947200,2018-02-06,19:45:00,900,4,4.0,0,0.0,SEDENTARY,0
1517947200,1517948100,2018-02-06,20:00:00,900,4,4.0,0,0.0,SEDENTARY,0
1517948100,1517949000,2018-02-06,20:15:00,900,4,4.0,0,0.0,SEDENTARY,0
1517949000,1517949720,2018-02-06,20:30:00,720,7,4.8,0,0.0,SEDENTARY,0
1517949900,1517950440,2018-02-06,20:45:00,540,7,4.26666666666667,0,0.0,SEDENTARY,0
1517950800,1517951700,2018-02-06,21:00:00,900,7,1.26666666666667,0,0.04,SEDENTARY,1
1517951700,1517952600,2018-02-06,21:15:00,900,4,3.2,0,0.01,SEDENTARY,0
1517952600,1517953500,2018-02-06,21:30:00,900,5,3.66666666666667,0,0.0,SEDENTARY,0
1517953500,1517954340,2018-02-06,21:45:00,840,7,4.73333333333333,0,0.0,SEDENTARY,0
1517954400,1517955120,2018-02-06,22:00:00,720,7,4.33333333333333,0,0.0,SEDENTARY,0
